content,pos,neg,query
Para   qu no soy tan duro ... Hay algo peor que #messi .... Y es a propaganda de #movistar !!,0,1,movistar
si @telcel me manda otro est'upido mensaje de promoci'on al celular ir'e a met'erselos por el CU%&amp;,0,1,telcel
AAAAAA QUIERO METER UNA TARJETA DE MENSAJES DESD.AYER Y NADA Q AGARRA MOVISTAR!!,0,1,movistar
"Felicidades a @Telcel xq despues de hacerme prdr mi tiempo durante 1 mes y hacerme pagar sin recib el serv, me dieron soluc, bravo! hurra!",1,0,telcel
"Cafe del Starbucks con Yolistli, espero que no pase del viernes... y que @hanaseiryu no crea que se me ha olvidado su comida China",1,0,starbucks
"Tontamente cambie @telcel por sus promesas de mejor servicio @NextelMX, y ya contratado imposible cancelar solo son ganchos",0,1,telcel
"ya me est'an fastidiando los de Movistar, tendr'e que llamar al 1004...c'omo me sigan fastidiando me cambio de compa'n'ia!",0,1,movistar
Simpatiqu'isimos los 5 que atienden en el agente autorizado Movistar del tol'on. #NOT,1,0,movistar
Como un pueblo remoto puede tener buena se'nal del movistar? Y la ciudad no?,0,1,movistar
"una vez m'as, el internet de 50 centavos de Telmex est'a fallando #Telmexsucks",0,1,telmex
El piloto F1 de Escuder'ia Telmex @checoperez17 se ubica como el mejor novato en la temporada,1,0,telmex
Al parecer la falla del servicio de internet y datos en MOVISTAR es a nivel nacional... Quien m'as presenta este problema?,0,1,movistar
Pero como ya no soy telcel..ahora el qe me ilusiona es 116 o 265  el 2do. siempre es para cobrarme hahaha,0,1,telcel
"Consegu'i como hacer para que mi cel movistar funcione el internet perfectamente, me conecte a un wi-fi ^^",0,1,movistar
"via @DanielBRH: Hoy La empresa MOVISTAR demostro la poca importancia que nos dan a nosotros los usuarios, ya que sea cual sea la causa del",0,1,movistar
"Es mi tel'efono o la pinche red #telcel anda bien culera hoy? Bueno, m'as de lo normal.",0,1,telcel
Ahora con mi nueva conexion de @Telmex vere #nerdcorelive en modo burgues,0,1,telmex
"Yo ya me he ido a #Jazztel, pero si ten'eis #Movistar y #YouTube os va mal, probad esto: http://bit.ly/rrI82f",0,1,movistar
Queria enviar un mensaje pero FAVOR DE ABONAR UNA FICHA AMIGO TELCEL aaa! jodete! .l. jaja se me acabo el saldo -.-,0,1,telcel
"Vips, Toks yCalifornia enfrentan crisis frente a Starbucks y Chillis pes'e a precios 20% m'as altos. A consumir lo nacional, chavos!!",0,1,starbucks
Aaay el sillon de starbucks me esta haciendo ojitos p/ k me acueste a dormir un ratito jaja tengo sue'no! Lo bueno es k iba a descansar ayer,1,0,starbucks
Sinceramente pense que mi calidad de sin enojo mejoraria pero con a red de telcel mejor lo olvido :),0,1,telcel
me encanta movistar hoy,1,0,movistar
"la proxima vez q viaje fuera, voy a comer en en McDonalds, Chilli's, Starbucks y Krispy Kreme... porfin sabre lo que es ser puertorrique'no!",1,0,starbucks
"http://t.co/zraLtXf Por esto y mucho m'as, me cago en Telmex.",0,1,telmex
Y ahora que me acuerdo anoche la se'nal de #Telmex se da'no y esta ma'nana me desperte y sigue da'nada #Fail y los de @TELMEXSoluciona Si bien,0,1,telmex
"Ya dec'ia yo que @Telcel nomas me emociono, le mande DM con mi queja y zaz puura de aire!!!!",0,1,telcel
De que sirve que tenga internet infinitum si no sirve y no puedo navegar! 10 dias sin internet pero bien cobrados! Obvio! C.c.p. @telmex,0,1,telmex
Los putos de telcel bloquearon heywire hijos de putaaa!!!!,0,1,telcel
Yucat'an: Resaltan Telmex y Gobierno yucateco valores educativos http://bit.ly/nxryDp,1,0,telmex
"Confirmado! Los que tienen linea MOVISTAR manden al 8950 un sms con la palabra DATOS y uno al 514 con la palabra VOZ, obtendr'an un bono!",1,0,movistar
"Me quejo que telcel me deje sin internet, cuando hay ni'nos en Zimbawe(creo que asi es) que se mueren de hambre",0,1,telcel
Movistar cabrones hijos de puta mentirosos q no saben lo q significa una puta tarifa plana estafadores! Asqerosos! Y aun no me qedo a gusto!,0,1,movistar
Movistar sabes que te estaba odiando!,0,1,movistar
#telcel te odio ... Con odio jarocho,0,1,telcel
